[2018-03-26 10:52:09] ShadowsocksR started on port 1080
[2018-03-26 10:52:21] [Warn]Proxy server [s1-us2(vu2.fanwai.tk)] connection refused
[2018-03-26 10:52:21] [Warn]Proxy server [s1-us2(vu2.fanwai.tk)] connection refused
[2018-03-26 10:52:23] [Warn]Proxy server [s1-us2(vu2.fanwai.tk)] connection refused
[2018-03-26 10:52:23] [Warn]Proxy server [s1-us2(vu2.fanwai.tk)] connection refused
[2018-03-26 10:52:24] [Warn]Proxy server [s1-us2(vu2.fanwai.tk)] connection refused
[2018-03-26 10:52:24] [Warn]Proxy server [s1-us2(vu2.fanwai.tk)] connection refused
[2018-03-26 10:52:25] [Error]connect to update server error
[2018-03-26 10:53:26] [Warn]Proxy server [s1-us2(vu2.fanwai.tk)] connection refused
[2018-03-26 10:53:28] [Warn]Proxy server [s1-us2(vu2.fanwai.tk)] connection refused
[2018-03-26 10:53:30] [Warn]Proxy server [s1-us2(vu2.fanwai.tk)] connection refused
[2018-03-26 10:53:31] [Warn]Proxy server [s1-us2(vu2.fanwai.tk)] connection refused
[2018-03-26 10:53:33] [Warn]Proxy server [s1-us2(vu2.fanwai.tk)] connection refused
[2018-03-26 10:53:35] [Warn]Proxy server [s1-us2(vu2.fanwai.tk)] connection refused
[2018-03-26 10:57:20] [Error]connect to update server error
[2018-03-26 12:57:20] [Error]connect to update server error
[2018-03-26 14:57:20] [Error]connect to update server error
[2018-03-26 16:57:20] [Error]connect to update server error
[2018-03-26 18:57:20] [Error]connect to update server error
